id	lang	idiom	type	genlang_point	map	feature	value_3	value	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
12	Botlikh	Botlikh	village	yes	yes	spatial case systems	no_further_orientation	bipartite	alexeyevverhees2020	NA		Alexandra Nogina		ištu-w adami-χ.a=la min kaʁat ikː-u	Which person did you give the letter to?	Which person did you give the letter to?	which-m person-apud.lat=q 2sg.erg letter give-aor	alexeyevverhees2020	NA	example from saidovaabusov2012: 212
13	Budukh	Budukh	village	yes	yes	spatial case systems	no_further_orientation	monopartite	talibov2007	65		Alexandra Nogina		ismail k'ul-ǯe vih'i-ǯi	Исмаил домой пошел	Ismail went home	Ismail home-loc go-pst	talibov2007	87	
14	Chamalal	Gadyri	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	bipartite	bokarev1949a	47		Alexandra Nogina		musa bih-a g'ku-č'	Запряги быка в арбу	Harness the bull to the bullock-cart	bull harness-imp bullock_cart-sup.loc	bokarev1949a	55	
15	Chamalal	Gigatl	dialect_toplevel	no	yes?	spatial case systems	no_further_orientation	bipartite	bokarev1949a	47		Alexandra Nogina		musa g'oki-č'u bih-a	Запряги быка в арбу	Harness the bull to the bullock-cart	bull bullock_cart-sup.loc harness-imp 	bokarev1949a	56	
16	Chamalal	Upper Gakvari	village	no	yes?	spatial case systems	no_further_orientation	bipartite	bokarev1949a	47		Alexandra Nogina		deː jiʁa hvam łłi-l'al 	Я бросил рыбу в воду	I threw the fish into the water.	I throw fish water-in.all	bokarev1949a	52	
17	Chechen	Standard Chechen	language	yes	yes	spatial case systems	no_further_orientation	monopartite	nichols1994	23		Alexandra Nogina		h'o khana škol-e vo:du	Ты завтра идешь в школу	You are going to the school tomorrow	you tomorrow school-al 	jakovlev1940	24	
18	Dargwa	Akusha	dialect_nt1	yes	yes	spatial case systems	no_further_orientation	bipartite	abdullaev1954	103		Alexandra Nogina		šag'ar-li-zi-v-ad čaruqun 	Вернулся из города	(He) came back from the city	city-obl-inter-cl-abl	abdullaev1954	110	
19	Dargwa	Itsari	village	no	yes	spatial case systems	no_further_orientation	bipartite	sumbatovamutalov2003	20-21		Alexandra Nogina		tup XaIr-reh Ti.b=aIR-ib	The ball fell behind the fence	The ball fell behind the fence	ball fence-obl.postlat [N]fall:pf=pret	sumbatovamutalov2003	28	
20	Dargwa	Kaitag	dialect_toplevel			spatial case systems	deictic	tripartite	temirbulatova2006	91.92	С аблативом (abl утрачивает свое непосредственное значение в сочетании с показателем, переходит по семантике в prol (temirbulatova2006: 101))	Alexandra Nogina		ši-l-cci-r-hen	По селу по направлению вниз	Down the village	village-obl-in-abl-downwards	temirbulatova2006	101	
21	Dargwa	Kaitag	dialect_toplevel			spatial case systems	directional	tripartite	temirbulatova2006	91,92	С эссивом и аллативом	Alexandra Nogina		ši-l-cci-∅-bek'	По направлению в село	Towards the village	village-obl-in-al-dir	temirbulatova2006	102	
22	Dargwa	Kubachi	village	no	yes	spatial case systems	directional	tripartite	magometov1963	114, 123	С лативом	Alexandra Nogina		nisːi-šːu-wā	По направлению к нам	Towards us	us-apud.al-dir	magometov1963	123	
23	Dargwa	Mehweb	village	no	yes	spatial case systems	no_further_orientation	bipartite	chechuro2019	56-57		Alexandra Nogina		ħarši k’unk’ur-le-ħe-r le-r	The soup is in the pot	The soup is in the pot	soup pot-obl-in-npl(ess) be-npl	chechuro2019	65	
24	Dargwa	Sanzhi	village	no	yes	spatial case systems	directional	tripartite	forker2020dargwa	54, 78	?	Alexandra Nogina		il=ra χːula b-irʁ-an ca-b hel qal-la baˁʡ-li-cːe-r-b-a	That is also growing along the façade of the house	That is also growing along the façade of the house	that=add big n-come.ipfv-ptcp cop-n that house-gen façade-obl-in-abl-n-dir	forker2020dargwa	77	
25	Dargwa	Tanty	village	no	yes	spatial case systems	deictic	tripartite	sumbatovalander2014	57	С лативом (факультативно) и аблативом (обязательно)	Alexandra Nogina		wac'a-c:e-r-ka t'ama b=iq'-ul=de	Из лесу слышался голос	A voice was heard from the forest	лес-inter-el-downwards голос n=слышать:ipf-prs-conv=pst	sumbatovalander2014	51	
26	Dargwa	Uraxa	village	no	yes	spatial case systems	deictic	tripartite	abdullaev1954	115, 126		Alexandra Nogina		adam-ulaču-b-s-ad	От людей сюда	From the people there	person-??-cl-thither-abl	abdullaev1954	126	
27	Georgian	?	?	yes	yes	spatial case systems	no_further_orientation	monopartite	hillery1994	9		Alexandra Nogina		bič'-i bagh-ši da-rč-a	The boy remained in the garden	The boy remained in the garden	boy-nom garden-loc remained	hillery1994	4	
28	Godoberi	Godoberi	village	yes	yes	spatial case systems	no_further_orientation	bipartite	kibriketal1996	17		Alexandra Nogina		buraL-o leni ida	There is water in the pitcher	There is water in the pitcher	pitcher-in.ess water cop	kibriketal1996	81	
29	Hinuq	Hinuq	village	yes	yes	spatial case systems	no_further_orientation	bipartite	forker2019	77		Alexandra Nogina		eli ħalica čeq-i-š b-iq’e-s hadu nuqo	We hardly brought this log out of the forest	We hardly brought this log out of the forest	we.erg hardly forest-in-abl1 iii-bring-pst this log(iii)	forker2019	86	
30	Hunzib	Hunzib	language	yes	yes	spatial case systems	approximative	tripartite	vandenberg1995	44	Со всеми (?) падежами 	Alexandra Nogina		yaraǧ r-oxče-n li žin-do ha-ƛ-do-ƛ' q'ere gul-ur.u	He took a weapon from under his feet, where he had laid it down	He took a weapon from under his feet, where he had laid it down	weapon.5 5-take-ger be.5 self.obl-ins foot-sup-appr-trans down put.5-ppt	vandenberg1995	68	
31	Ingush	Standard Ingush	language	yes	yes	spatial case systems	no_further_orientation	monopartite	nichols2011	127		Alexandra Nogina		yz urs dika touxa-lu niwaragh	This knife throws at/sticks in the door well	This knife throws at/sticks in the door well	dem knife well strike-incp door.lat	nichols2011	493	
32	Karata	Karata	dialect_toplevel	no	no?	spatial case systems	no_further_orientation	?bipartite	magomedbekova1971	52		Alexandra Nogina		den-a t'an-t'a anča tam-asə	Я брошу камень на крышу	I will throw the stone on the roof	I-erg roof-sup.ess stone.nom throw-fut	magomedbekova1971	73	
33	Karata	Karata	village	yes	yes	spatial case systems	directional	tripartite	pasquereau2010	13		Alexandra Nogina	NA							
34	Khinalug	Khinalug	village	yes	yes	spatial case systems	no_further_orientation	monopartite	desheriev1959	22		Alexandra Nogina		zi kak:-ot-ma: z'va-lli	Я иду из дома	I'm coming from the house	I go-pres-pred house-elat	desheriev1959	26	
35	Khwarshi	Kwantlada	village	yes	yes	spatial case systems	no_further_orientation	bipartite	khalilova2009	73		Alexandra Nogina		anka l-eqq-uč qarpuz-a-ma-zi mˁāɣul qˁe k'oλ-i	As soon as (I) made a hole, the hare jumped out of the watermelon	As soon as (I) made a hole, the hare jumped out of the watermelon	hole(iv) iv-happen-imm.antr water.melon-obl-in-abl outside.vers hare jump-pst.w	khalilova2009	89	
36	Kryz	Alik	village	yes	yes	spatial case systems	no_further_orientation	bipartite	authier2009	29		Alexandra Nogina		zin Guba.c-aˁar gva-xhur-d-u	Je suis revenue de Kuba	I came back from Cuba	1(f) Kuba-in.el pv.f-come-aor-f	authier2009	44	
37	Kumyk	Standard Kumyk	language	yes	yes	spatial case systems	no_further_orientation	monopartite	gadzhiakhmedov2000	174		Alexandra Nogina		on-u tezde muzafar-ni ata-si persija-dan geltir-gen	Его давно отец Музафара привез из Персии	He's been brought from Persia by Muzafar's father a long time ago	he-acc long_time_ago muzafar-gen father-poss.3sg persia-abl bring-perf	gadzhiakhmedov2000	189	
38	Lak	Standard Lak	language	yes	yes	spatial case systems	directional	tripartite	zhirkov1955	36	С лативом	Alexandra Nogina		o:rč' qat-lu-vu-n-aj lavgunni	Мальчик по направлению внутрь дома пошел	The boy went in the direction of the inside of the house	boy house-obl-in-al-dir go-	zhirkov1955	42	
39	Lezgian	Standard Lezgian	language	yes	yes	spatial case systems	no_further_orientation	bipartite	haspelmath1993	74		Alexandra Nogina		Anglija.d-a lif.re-z gümbet ecig-nawa	In England a gravestone has been built for a dove	In England a gravestone has been built for a dove	England-in.ess dove-dat gravestone build-prf	haspelmath1993	88	
40	Nogai	Kara-Nogai	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	monopartite	baskakov1940	65		Alexandra Nogina		menim u:jim-de altən:-m ko:p	В моем доме золота много	There's a lot of gold in my house	my house-loc gold-1sg.poss many	baskakov1940	69	
41	Rutul	Mukhad	dialect_nt1	yes	yes	spatial case systems	no_further_orientation	bipartite	ibragimov2004	55		Alexandra Nogina		did-əh-la qy: luz 	За отцом становись	Go stand behind the father	father-post-abl ahead stand.imp	ibragimov2004	60	
42	Rutul	Luchek	village	no	yes?	spatial case systems	no_further_orientation	bipartite	alekseev1994	222		Alexandra Nogina		hənəh hə-la-lə ay-či-r	The boy jumped off the roof	The boy jumped off the roof	boy roof-sup-abl ?-jump-aor	alekseev1994	246	
43	Tabasaran	Northern Tabasaran	dialect_toplevel	no	yes	spatial case systems	deictic	tripartite	magometov1965	117-119	Только с аблативом, по alekseecshixalieva2003 это послелоги 	Alexandra Nogina		daʁ.ǯi-l-an-tina	с горы туда	from the mountain there	mountain.erg-sup-abl-thither	magometov1965	119	
44	Tabasaran	Standard Tabasaran	language	yes	yes	spatial case systems	directional	tripartite	alekseevshixalieva2003	46	С лативом и аблативом	Alexandra Nogina		škola.ji-x'-an-di baja.ri-n deste ʁj-ura	От школы идет группа ребят	There is a group of children coming from the school	school.erg-apud-abl-dir boy.erg-gen group go-pres.3sg	alekseevshixalieva2003	46	
45	Tat	Judeo-Tat	dialect_toplevel	yes	yes	spatial case systems	no_further_orientation	monopartite	authier2012	45		Alexandra Nogina		e=lule debu çükle tülki-le-ho	Dans le terrier il y avait de petits renardeaux	There were fox-cubs in the hole	loc=nest be_in.pst(3) little fox-dimin-pl	authier2012	39	
46	Tindi	Tindi	village	yes	yes	spatial case systems	no_further_orientation	bipartite	magomedova2012	76		Alexandra Nogina		hinca-ba-k'-o łe bakij-o	Из-под камней появилась вода	Water appeared from under the stones	stone-aff-sub-abl water appear-pst.evid	magomedova2012	85	
47	Tsakhur	Mishlesh	village	yes	yes	spatial case systems	no_further_orientation	bipartite	kibrik1999	55		Alexandra Nogina		gojne=d dura-kara qixa-jnGaI Gel'-bɨ, ma-ni čaruX-b-iš-e:-qa=b ... k'a:ʔ-a-ji:-xe	Потом, если ноги становились мокрыми, в эти чарыки ... клали балах	Then, if the feet became wet, they put balakh in these charyki.	потом=coh.npl мокрый-kara npl.стать.pf-temp1 нога-pl этот-aobl чарык-pl-oblpl-in-all=coh.3 3.класть-ipf-em1-hab	kibrik1999	97	
48	Tsez	Kidero	dialect_nt1	yes	yes	spatial case systems	no_further_orientation	bipartite	bokarev1959	189		Alexandra Nogina		χiχo-ł-er zijo ča-l'o	В похлебку соль сыпь	Pour salt into the chowder	chowder-inter-al salt pour-imp	bokarev1959	191	
49	Tsova-Tush	Zemo-Alvani	village	yes	yes	spatial case systems	no_further_orientation	monopartite	holiskygagua1994	159	"Есть формы с сочетанием двух падежей: 
laħ dažri-lo-ħ Ba 
snake grass-ALLII-LOC is 
‘The snake is in the grass.’"	Alexandra Nogina		ninŏ xi-lŏ eq'-in	Nino jumped into the water	Nino jumped into the water	nino water-all2 jump-aor	holiskygagua1994	162	
50	Udi	Nidzh	village	yes	yes	spatial case systems	no_further_orientation	monopartite	ganenkov2008	15		Alexandra Nogina		tːe hazir pːočːkː-in-aun eχ-tː-i ʁoʁ-a ba=jan=ne levetː-a	Берем из этой готовой бочки и кладем алычу в кастрюлю	We take cherry plum out of the finished barrel and put it into the pan	dist готовый бочка-o-abl брать-lv-aoc алыча-dat класть.внутрь=1pl=st:prs кастрюля-dat	ganenkov2008	40	
